PC1,PC2,Location,Payment Method,Item
-1.3431172272061735,-0.06727161315402402,Takeaway,Credit Card,Coffee
0.7719230613716572,-0.44716310812768856,In-store,Cash,Cake
-0.4834743281535847,-1.6354377342823236,In-store,Credit Card,Cookie
0.5399788570816892,1.7151403260779283,Takeaway,Digital Wallet,Salad
-1.3431172272061735,-0.06727161315402402,In-store,Digital Wallet,Coffee
2.5092178745563998,-0.34023798001937,Takeaway,Credit Card,Smoothie
0.028252264464052282,0.03985129589780242,Takeaway,Digital Wallet,Juice
1.643571970477289,0.14684235098729032,Takeaway,Cash,Sandwich
1.5155938582792625,-0.9341775121531795,Takeaway,Digital Wallet,Juice
2.5092178745563998,-0.34023798001937,In-store,Digital Wallet,Sandwich
3.3808667836620314,0.25376747909560904,Takeaway,Cash,Salad
-0.08771983768093176,1.1210030130006108,In-store,Cash,Sandwich
-0.471654174275012,-2.1220565764207984,Takeaway,Digital Wallet,Cookie
-1.6569665745874842,-0.3643402696926828,In-store,Digital Wallet,Juice
1.5275998683323053,1.2279940680900987,In-store,Credit Card,Salad
-0.9533657417600421,1.608083344007271,Takeaway,Digital Wallet,Sandwich
-0.7154185324435527,0.5268656999232935,In-store,Cash,Juice
1.5155938582792625,-0.9341775121531795,Takeaway,Cash,Cake
0.7719230613716572,-0.44716310812768856,Takeaway,Cash,Juice
1.753726923770222,0.6333952661445961,In-store,Cash,Smoothie
1.643571970477289,0.14684235098729032,Takeaway,Credit Card,Smoothie
0.7779260663981786,0.6339226819939506,Takeaway,Digital Wallet,Sandwich
-0.08771983768093176,1.1210030130006108,Takeaway,Digital Wallet,Sandwich
2.5092178745563998,-0.34023798001937,In-store,Cash,Sandwich
0.29002563771215706,0.6341863899186279,Takeaway,Digital Wallet,Smoothie
-0.471654174275012,-2.1220565764207984,In-store,Credit Card,Cookie
0.7719230613716572,-0.44716310812768856,Takeaway,Credit Card,Juice
2.5092178745563998,-0.34023798001937,Takeaway,Credit Card,Smoothie
0.5219698420021252,-1.5281170442869891,Takeaway,Digital Wallet,Juice
-1.2389652789397623,-0.6618044881183575,Takeaway,Credit Card,Juice
1.643571970477289,0.14684235098729032,In-store,Digital Wallet,Smoothie
-0.08771983768093176,1.1210030130006108,Takeaway,Digital Wallet,Smoothie
-0.9533657417600421,1.608083344007271,Takeaway,Credit Card,Sandwich
0.7719230613716572,-0.44716310812768856,In-store,Digital Wallet,Juice
0.5399788570816892,1.7151403260779283,In-store,Credit Card,Salad
1.643571970477289,0.14684235098729032,Takeaway,Digital Wallet,Smoothie
-0.09972584773397448,-1.0411685672426676,Takeaway,Digital Wallet,Coffee
0.7779260663981786,0.6339226819939506,In-store,Digital Wallet,Smoothie
1.643571970477289,0.14684235098729032,Takeaway,Digital Wallet,Sandwich
-1.0470910387299572,-0.3646699045985294,Takeaway,Digital Wallet,Tea
0.7719230613716572,-0.44716310812768856,Takeaway,Digital Wallet,Juice
-1.9708159219687944,-0.6614089262313415,Takeaway,Digital Wallet,Cookie
1.5275998683323053,1.2279940680900987,Takeaway,Cash,Salad
0.7719230613716572,-0.44716310812768856,In-store,Digital Wallet,Juice
1.5155938582792625,-0.9341775121531795,Takeaway,Digital Wallet,Juice
1.5155938582792625,-0.9341775121531795,Takeaway,Cash,Juice
0.028252264464052282,0.03985129589780242,Takeaway,Digital Wallet,Cake
1.5155938582792625,-0.9341775121531795,Takeaway,Digital Wallet,Cake
3.3808667836620314,0.25376747909560904,Takeaway,Digital Wallet,Salad
3.3808667836620314,0.25376747909560904,Takeaway,Digital Wallet,Juice
0.7779260663981786,0.6339226819939506,Takeaway,Credit Card,Smoothie
2.5092178745563998,-0.34023798001937,Takeaway,Digital Wallet,Smoothie
-1.5930704465757057,-1.1482255493133247,Takeaway,Credit Card,Cookie
1.5155938582792625,-0.9341775121531795,Takeaway,Digital Wallet,Cake
-0.7035983785649801,0.040246857784818325,In-store,Digital Wallet,Cake
1.643571970477289,0.14684235098729032,Takeaway,Cash,Sandwich
1.5155938582792625,-0.9341775121531795,In-store,Digital Wallet,Juice
-0.44764215416892644,2.2022865840657584,Takeaway,Digital Wallet,Salad
-1.4590893293511575,1.0138801039487841,In-store,Digital Wallet,Juice
-0.9533657417600421,1.608083344007271,Takeaway,Cash,Sandwich
1.5275998683323053,1.2279940680900987,Takeaway,Digital Wallet,Juice
1.643571970477289,0.14684235098729032,Takeaway,Digital Wallet,Smoothie
-0.09372284270745311,0.03991722287897174,In-store,Digital Wallet,Sandwich
-0.3376730570504639,0.04004907684131037,Takeaway,Cash,Juice
-2.4705365045333885,-0.17452637616818922,Takeaway,Credit Card,Cookie
-0.22751810375753118,0.5266019919986162,In-store,Digital Wallet,Salad
1.5155938582792625,-0.9341775121531795,In-store,Digital Wallet,Juice
-1.6569665745874842,-0.3643402696926828,In-store,Cash,Tea
-0.7154185324435527,0.5268656999232935,In-store,Credit Card,Cake
-2.4705365045333885,-0.17452637616818922,In-store,Cash,Juice
0.5399788570816892,1.7151403260779283,Takeaway,Digital Wallet,Salad
-0.08771983768093176,1.1210030130006108,Takeaway,Credit Card,Smoothie
-1.964812916942273,0.41967686389029757,Takeaway,Cash,Coffee
1.643571970477289,0.14684235098729032,Takeaway,Cash,Sandwich
0.025157833863556533,-1.825086810353894,Takeaway,Cash,Tea
0.7719230613716572,-0.44716310812768856,In-store,Cash,Juice
-1.3431172272061735,-0.06727161315402402,In-store,Credit Card,Coffee
-0.08771983768093176,1.1210030130006108,In-store,Digital Wallet,Sandwich
-1.9708159219687944,-0.6614089262313415,Takeaway,Digital Wallet,Cookie
0.028252264464052282,0.03985129589780242,In-store,Cash,Cake
0.7719230613716572,-0.44716310812768856,Takeaway,Credit Card,Cake
-0.520635717807722,0.040147967313064345,Takeaway,Cash,Tea
1.5155938582792625,-0.9341775121531795,Takeaway,Credit Card,Cake
-0.471654174275012,-2.1220565764207984,Takeaway,Digital Wallet,Cookie
-0.44764215416892644,2.2022865840657584,Takeaway,Digital Wallet,Juice
-0.471654174275012,-2.1220565764207984,In-store,Digital Wallet,Juice
-1.6569665745874842,-0.3643402696926828,In-store,Credit Card,Tea
1.5155938582792625,-0.9341775121531795,In-store,Digital Wallet,Juice
1.5155938582792625,-0.9341775121531795,Takeaway,Credit Card,Juice
-0.7214215374700741,-0.5542200901983457,Takeaway,Credit Card,Coffee
-0.09372284270745311,0.03991722287897174,Takeaway,Cash,Juice
1.5275998683323053,1.2279940680900987,Takeaway,Digital Wallet,Salad
3.3808667836620314,0.25376747909560904,In-store,Cash,Salad
-0.09972584773397448,-1.0411685672426676,In-store,Digital Wallet,Coffee
0.7719230613716572,-0.44716310812768856,Takeaway,Cash,Juice
-0.09972584773397448,-1.0411685672426676,In-store,Cash,Coffee
3.3808667836620314,0.25376747909560904,Takeaway,Cash,Juice
1.5275998683323053,1.2279940680900987,Takeaway,Digital Wallet,Salad
-0.7154185324435527,0.5268656999232935,Takeaway,Digital Wallet,Juice
2.515220879582921,0.7408478101022693,In-store,Digital Wallet,Salad
-1.4710953394042003,-1.148291476294494,Takeaway,Credit Card,Cookie
-1.4710953394042003,-1.148291476294494,Takeaway,Credit Card,Cookie
-0.471654174275012,-2.1220565764207984,Takeaway,Digital Wallet,Cookie
-0.5355503022867903,-1.338171296800157,Takeaway,Digital Wallet,Tea
-0.9533657417600421,1.608083344007271,In-store,Digital Wallet,Sandwich
-0.08771983768093176,1.1210030130006108,Takeaway,Credit Card,Smoothie
2.5092178745563998,-0.34023798001937,Takeaway,Digital Wallet,Smoothie
0.028252264464052282,0.03985129589780242,Takeaway,Digital Wallet,Juice
0.5219698420021252,-1.5281170442869891,Takeaway,Digital Wallet,Coffee
0.028252264464052282,0.03985129589780242,Takeaway,Cash,Juice
0.028252264464052282,0.03985129589780242,Takeaway,Digital Wallet,Juice
1.5155938582792625,-0.9341775121531795,In-store,Digital Wallet,Juice
0.5399788570816892,1.7151403260779283,Takeaway,Credit Card,Salad
-0.7154185324435527,0.5268656999232935,Takeaway,Digital Wallet,Cake
-0.7214215374700741,-0.5542200901983457,Takeaway,Digital Wallet,Coffee
-0.7154185324435527,0.5268656999232935,Takeaway,Digital Wallet,Cake
0.5219698420021252,-1.5281170442869891,In-store,Digital Wallet,Coffee
0.028252264464052282,0.03985129589780242,Takeaway,Digital Wallet,Juice
-0.5355503022867903,-1.338171296800157,In-store,Cash,Tea
1.5155938582792625,-0.9341775121531795,Takeaway,Credit Card,Juice
1.643571970477289,0.14684235098729032,Takeaway,Credit Card,Smoothie
-0.7154185324435527,0.5268656999232935,Takeaway,Digital Wallet,Juice
-0.08771983768093176,1.1210030130006108,In-store,Cash,Sandwich
-2.217674710737831,0.12257524386105413,Takeaway,Cash,Tea
-2.217674710737831,0.12257524386105413,Takeaway,Digital Wallet,Tea
0.7719230613716572,-0.44716310812768856,Takeaway,Credit Card,Juice
1.5155938582792625,-0.9341775121531795,In-store,Cash,Juice
-0.7154185324435527,0.5268656999232935,Takeaway,Digital Wallet,Juice
0.025157833863556533,-1.825086810353894,Takeaway,Credit Card,Tea
0.5219698420021252,-1.5281170442869891,In-store,Cash,Coffee
1.5275998683323053,1.2279940680900987,In-store,Credit Card,Salad
2.5092178745563998,-0.34023798001937,In-store,Digital Wallet,Sandwich
-2.217674710737831,0.12257524386105413,Takeaway,Credit Card,Tea
0.028252264464052282,0.03985129589780242,Takeaway,Digital Wallet,Cake
1.5155938582792625,-0.9341775121531795,In-store,Digital Wallet,Cake
-0.8492137934936307,1.0135504690429376,Takeaway,Cash,Juice
0.5399788570816892,1.7151403260779283,Takeaway,Cash,Salad
0.025157833863556533,-1.825086810353894,In-store,Digital Wallet,Tea
-0.47146831810054196,0.5267338459609548,In-store,Credit Card,Cake
1.7477239187437006,-0.4476905239770431,In-store,Cash,Salad
0.7719230613716572,-0.44716310812768856,Takeaway,Digital Wallet,Cake
-0.7154185324435527,0.5268656999232935,Takeaway,Cash,Cake
3.3808667836620314,0.25376747909560904,Takeaway,Cash,Salad
1.259823490057679,-0.44742681605236584,Takeaway,Credit Card,Juice
-1.964812916942273,0.41967686389029757,Takeaway,Digital Wallet,Coffee
0.39417758597856845,0.039653514954294464,In-store,Cash,Juice
0.5219698420021252,-1.5281170442869891,Takeaway,Cash,Coffee
-0.08771983768093176,1.1210030130006108,Takeaway,Digital Wallet,Smoothie
